　　　　,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
公車平均每日人次,,,,,,,,,," 1,864,505 "," 1,919,315 "," 1,979,745 "," 1,856,135 "," 1,865,447 "," 1,773,647 "," 1,677,566 "," 1,707,366 "," 1,678,562 "," 1,687,960 "," 1,712,562 "," 1,783,195 "," 1,763,590 "," 1,759,533 "," 1,707,794 "," 1,680,679 "," 1,614,958 "," 1,476,662 "," 1,316,937 "," 1,301,595 "
捷運轉乘優惠運量（千人次）,,,,,,,,,," 3,282 "," 12,229 "," 21,203 "," 38,138 "," 41,338 "," 48,576 "," 56,407 "," 55,655 "," 54,296 "," 54,568 "," 56,988 "," 61,149 "," 60,776 "," 62,188 "," 63,088 "," 64,527 "," 63,042 "," 56,998 "," 51,384 "," 50,861 "
公車專用道—信義（人次）,,,,,,,,,,,,,,,,,,,,,"57,773,682","55,489,627","55,897,367","55,908,984","54,643,181","56,223,864","49,693,876","46,089,916","42,057,207"
公車專用道—仁愛（人次）,,,,,,,,,,,,,,,,,,,,,"58,996,811","57,598,567","56,139,034","56,500,416","49,962,343","51,808,960","45,491,599","42,268,519","42,631,722"
公車專用道—信義（每日人次）,,,,,,,,,,,,,,,,,,,,,"158,284","152,026","153,143","153,175","149,707","154,038","136,148","126,274","115,225"
公車專用道—仁愛（每日人次）,,,,,,,,,,,,,,,,,,,,,"161,635","157,804","153,806","154,796","136,883","141,942","124,635","115,804","116,799"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北捷運營運概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
捷運乘客人次 (人次),,,,,,,,," 11,204,389 "," 31,079,749 "," 60,781,145 "," 126,952,122 "," 268,588,061 "," 289,642,714 "," 324,433,557 "," 316,189,128 "," 350,141,956 "," 360,729,803 "," 383,947,560 "," 416,229,685 "," 450,024,415 "," 462,472,351 "," 505,466,450 "," 566,404,486 "," 602,199,342 "," 634,961,083 "," 679,506,401 "," 717,511,809 "," 739,990,166 "
捷運乘客人次 (千人次),,,,,,,,," 11,204 "," 31,080 "," 60,781 "," 126,952 "," 268,588 "," 289,643 "," 324,434 "," 316,189 "," 350,142 "," 360,730 "," 383,948 "," 416,230 "," 450,024 "," 462,472 "," 505,466 "," 566,404 "," 602,199 "," 634,961 "," 679,506 "," 717,512 "," 739,990 "
捷運平均每日人次,,,,,,,,," 30,697 "," 85,150 "," 166,524 "," 347,814 "," 735,858 "," 793,542 "," 888,859 "," 866,272 "," 959,293 "," 988,301 "," 1,051,911 "," 1,140,355 "," 1,232,944 "," 1,267,048 "," 1,384,840 "," 1,551,793 "," 1,649,861 "," 1,739,619 "," 1,861,661 "," 1,965,786 "," 2,027,370 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北捷大事紀,,,,,,,,,木柵線通車,淡水線通車,中和線及新店線北段通車,新店線全線通車、板橋線及南港線部分通車,板橋線及南港線全線通車,,,,,,板橋線第2階段及土城線通車,,南港線東延段南港站通車,內湖線通車,蘆洲線通車,,新莊線通車,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料來源：台北市交通局統計查詢系統、交通統計年報、內政部戶政司人口統計資料庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ˊ,,
